metric,data_type,fuel_class,plot_id,timing,value_std,units,lab_type,lab_thin,lab_fuel
total,dl,all,FOR05,survey1,1.2380231950321867,depth_in_cm,Duff & litter,Pre-thinning,All
mean,dl,duff,FOR05,survey1,0.22887113698375766,depth_in_cm,Duff & litter,Pre-thinning,Duff
mean,dl,litter,FOR05,survey1,1.3441367345604571,depth_in_cm,Duff & litter,Pre-thinning,Litter
total,dl,all,FOR06,survey1,-0.10340644172019166,depth_in_cm,Duff & litter,Pre-thinning,All
mean,dl,duff,FOR06,survey1,-1.2160224045803691,depth_in_cm,Duff & litter,Pre-thinning,Duff
mean,dl,litter,FOR06,survey1,0.6139515905087674,depth_in_cm,Duff & litter,Pre-thinning,Litter
total,dl,all,FOR07,survey1,1.1158089291633122,depth_in_cm,Duff & litter,Pre-thinning,All
mean,dl,duff,FOR07,survey1,0.22887113698375766,depth_in_cm,Duff & litter,Pre-thinning,Duff
mean,dl,litter,FOR07,survey1,1.1977490766293262,depth_in_cm,Duff & litter,Pre-thinning,Litter
total,dl,all,FOR08,survey1,0.1402902680662471,depth_in_cm,Duff & litter,Pre-thinning,All
mean,dl,duff,FOR08,survey1,0.7100206863246118,depth_in_cm,Duff & litter,Pre-thinning,Duff
mean,dl,litter,FOR08,survey1,-0.2626212114740534,depth_in_cm,Duff & litter,Pre-thinning,Litter
total,dl,all,FOR10,survey1,-0.22562070758906613,depth_in_cm,Duff & litter,Pre-thinning,All
mean,dl,duff,FOR10,survey1,-0.9747251831391599,depth_in_cm,Duff & litter,Pre-thinning,Duff
mean,dl,litter,FOR10,survey1,0.32117627464650556,depth_in_cm,Duff & litter,Pre-thinning,Litter
total,dl,all,FOR05,survey2,0.749897953507999,depth_in_cm,Duff & litter,Post-thinning,All
mean,dl,duff,FOR05,survey2,0.47016835842496685,depth_in_cm,Duff & litter,Post-thinning,Duff
mean,dl,litter,FOR05,survey2,0.6139515905087674,depth_in_cm,Duff & litter,Post-thinning,Litter
total,dl,all,FOR06,survey2,-1.079656924768567,depth_in_cm,Duff & litter,Post-thinning,All
mean,dl,duff,FOR06,survey2,-0.7348728552395147,depth_in_cm,Duff & litter,Post-thinning,Duff
mean,dl,litter,FOR06,survey2,-0.8472952703965946,depth_in_cm,Duff & litter,Post-thinning,Litter
total,dl,all,FOR07,survey2,-0.5307904612855973,depth_in_cm,Duff & litter,Post-thinning,All
mean,dl,duff,FOR07,survey2,-0.13235224840727403,depth_in_cm,Duff & litter,Post-thinning,Duff
mean,dl,litter,FOR07,survey2,-0.5553965273363152,depth_in_cm,Duff & litter,Post-thinning,Litter
total,dl,all,FOR08,survey2,0.6284155095904348,depth_in_cm,Duff & litter,Post-thinning,All
mean,dl,duff,FOR08,survey2,2.1549142278887388,depth_in_cm,Duff & litter,Post-thinning,Duff
mean,dl,litter,FOR08,survey2,-0.5553965273363152,depth_in_cm,Duff & litter,Post-thinning,Litter
total,dl,all,FOR10,survey2,-1.9329613199967577,depth_in_cm,Duff & litter,Post-thinning,All
mean,dl,duff,FOR10,survey2,-0.7348728552395147,depth_in_cm,Duff & litter,Post-thinning,Duff
mean,dl,litter,FOR10,survey2,-1.8702557303105467,depth_in_cm,Duff & litter,Post-thinning,Litter
