lab_fuel,lab_class,metric,units,tubbs_2016_a_mean,tubbs_2016_b_min,tubbs_2016_c_max,tubbs_2017_a_mean,tubbs_2017_b_min,tubbs_2017_c_max,tubbs_2019_a_mean,tubbs_2019_b_min,tubbs_2019_c_max,tubbs_2021_a_mean,tubbs_2021_b_min,tubbs_2021_c_max,thin_t1_a_mean,thin_t1_b_min,thin_t1_c_max,thin_t2_a_mean,thin_t2_b_min,thin_t2_c_max,thin_chg,type_class
Coarse woody debris,All,total,Metric tons per hectare,24.171885494432214,10.6897152192324,47.33329659271955,29.138984578114144,0.06010268689165386,114.20732308344252,24.378056890151967,0.20923236953908783,111.78812658061048,16.70422030414884,1.475188973749933,49.65471901893741,50.2137296578167,3.118522876249917,146.6281574755262,191.8536141925077,52.14541807482984,392.6932409423477,2.8207401740500297,wd_all
Coarse woody debris,1-hr,mean,Metric tons per hectare,0.7393570860767156,0.4151818590708727,1.1980561968611745,0.18107421681252475,0.03140013117389156,0.4579165643955481,0.3712555061903758,0.07948658732869718,0.715783241279191,0.16389572468881847,0.01486805923437321,0.33193466191799265,0.9888474896411792,0.19226855961001385,2.842405892039253,2.0532390681269983,0.9173644907173664,4.0374842095831704,1.0763960971090218,wd_hr0001
Coarse woody debris,10-hr,mean,Metric tons per hectare,6.2123110843816125,2.9630313980891447,9.76922927568868,0.4818658893097526,0,1.3506187645566206,1.2164282197048517,0,2.634857152137128,1.2032293076913159,0,2.8255103050661936,3.3950294047658196,1.4468301429224613,6.012379132882556,5.070803847061232,1.987691230715288,8.459696341999326,0.4935964442437586,wd_hr0010
Coarse woody debris,100-hr,mean,Metric tons per hectare,5.244969670754294,0,10.888395957804006,0.38896544274321054,0,1.8512050071103936,0.54584623277219535,0,1.649483977578501,0.375490545769553,0,1.7431013714835422,24.01115292265426,1.0623470647659112,110.1124205288526,8.63964595896573,4.418584520456491,14.516715047640597,-0.6401819609913726,wd_hr0100
Coarse woody debris,1000-hr rotten,mean,Metric tons per hectare,4.600192907782693,0,28.975834073313557,0,0,0,0,0,0,0,0,0,6.962298921301138,0,34.81149460650569,0,0,0,-1,wd_hr1000r
Coarse woody debris,1000-hr sound,mean,Metric tons per hectare,7.3750547454368975,0,25.084936818681516,28.08707902924866,0,112.58318524040664,22.244526931484543,0,110.4007441074596,14.961604725999152,0,49.17974034151469,14.856400919454298,0,45.29252190639027,176.08992531835375,41.52705941485042,373.3286284677885,10.852798418206786,wd_hr1000s
Duff & litter,All,total,Depth in centimeters,7.90575,4.1274999999999995,11.747500000000002,1.8520833333333333,0.9525,4.41325,4.727222222222222,1.397,9.9695,2.3530277777777777,1.016,4.54025,4.8999999999804,3.999999999984,5.999999999976,3.7166666666518,1.66666666666,5.333333333312,-0.24149659863945577,dl_all
Duff & litter,Duff,mean,Depth in centimeters,3.986388888888889,2.54,6.032500000000001,1.11125,0.6032500000000001,1.74625,0.21519444444444447,0,0.6032500000000001,0.37041666666666667,0.254,1.27,0.6999999999972,0,1.333333333328,0.9833333333294,0.333333333332,2.333333333324,0.40476190476190477,dl_duff
Duff & litter,Litter,mean,Depth in centimeters,3.9193611111111113,1.5875,6.3500000000000005,0.7408333333333333,0.127,2.667,4.512027777777778,1.27,9.525,1.982611111111111,0.762,4.28625,4.1999999999832,3.166666666654,4.99999999998,2.7333333333224,1.333333333328,4.16666666665,-0.34920634920634924,dl_litter
