lab_fuel,lab_class,metric,us_units,tubbs_2016_a_mean,tubbs_2016_b_min,tubbs_2016_c_max,tubbs_2017_a_mean,tubbs_2017_b_min,tubbs_2017_c_max,tubbs_2019_a_mean,tubbs_2019_b_min,tubbs_2019_c_max,tubbs_2021_a_mean,tubbs_2021_b_min,tubbs_2021_c_max,thin_t1_a_mean,thin_t1_b_min,thin_t1_c_max,thin_t2_a_mean,thin_t2_b_min,thin_t2_c_max,thin_chg,type_class
Coarse woody debris,All,total,Tons per acre,10.781394065313208,4.767937207507762,21.112085902194274,12.996870909060727,0.02680762127192411,50.93993001045608,10.873352760995523,0.09332398284526663,49.86089499581198,7.45058889569529,0.6579790248661611,22.147510713174583,22.396846412942327,1.3909557878010337,65.400605475257,85.57253086195705,23.258438035160506,175.15309587080628,2.8207401740500297,wd_all
Coarse woody debris,1-hr,mean,Tons per acre,0.3297756851368045,0.18518370163732056,0.5343694009193463,0.080764592690689,0.0140054108714949,0.2042446763584068,0.1655912159635931,0.0354534287817561,0.31926103536092376,0.0731024641787772,0.00663160536769545,0.1480529268144481,0.44105597218607456,0.08575760910348522,1.2677992381977043,0.9158068992537904,0.40917238658223304,1.8008404146222885,1.0763960971090216,wd_hr0001
Coarse woody debris,10-hr,mean,Tons per acre,2.7708791634173116,1.3216018724750869,4.3573725582911145,0.2149268016546622,0,0.6024169333437202,0.5425638803322265,0,1.175226205235115,0.536676765250364,0,1.260263293963512,1.514286085979402,0.6453301261919987,2.6817034491001586,2.261732313586634,0.8865705756981659,3.773281151650012,0.49359644424375887,wd_hr0010
Coarse woody debris,100-hr,mean,Tons per acre,2.3394155534140477,0,4.856554842909905,0.17349038480963896,0,0.8256935803346984,0.2434639753667241,0,0.7357198829520523,0.16748017206492105,0,0.7774760800551036,10.709702463271302,0.4738390119384082,49.11347927245878,3.8535441387001472,1.970822712068016,6.4748952041215855,-0.6401819609913725,wd_hr0100
Coarse woody debris,1000-hr rotten,mean,Tons per acre,2.0518255610092297,0,12.924100835554665,0,0,0,0,0,0,0,0,0,3.1053964858613456,0,15.52698242930673,0,0,0,-1,wd_hr1000r
Coarse woody debris,1000-hr sound,mean,Tons per acre,3.289498102335815,0,11.188642648832078,12.527689129905736,0,50.21551527225988,9.921733689332981,0,49.24208033338965,6.673329494201227,0,21.9356558169111,6.626405405644202,0,20.20183849526774,78.54144751041648,18.522328017328466,166.51589137724733,10.852798418206783,wd_hr1000s
Duff & litter,All,total,Depth in inches,3.1125,1.625,4.625,0.7291666666666666,0.375,1.7375,1.8611111111111112,0.55,3.925,0.9263888888888889,0.4,1.7875,1.92913385826,1.5748031496,2.3622047243999997,1.46325459317,0.6561679789999999,2.0997375328,-0.24149659863945572,dl_all
Duff & litter,Duff,mean,Depth in inches,1.5694444444444444,1,2.375,0.4375,0.2375,0.6875,0.08472222222222223,0,0.2375,0.14583333333333334,0.1,0.5,0.27559055118,0,0.5249343832,0.38713910761,0.1312335958,0.9186351706,0.4047619047619048,dl_duff
Duff & litter,Litter,mean,Depth in inches,1.5430555555555556,0.625,2.5,0.2916666666666667,0.05,1.05,1.7763888888888888,0.5,3.75,0.7805555555555556,0.3,1.6875,1.6535433070799999,1.2467191601,1.968503937,1.07611548556,0.5249343832,1.6404199475,-0.3492063492063492,dl_litter
