lab_fuel,statistic,2016,2017,2019,2021
1-hr,total,2.9679811662312403,0.726881334216201,1.4903209436723381,0.6579221776089947
1-hr,mean,0.3297756851368045,0.080764592690689,0.1655912159635931,0.0731024641787772
1-hr,sd,0.13118591619436648,0.0648389556731119,0.08646775411744849,0.0477116740362144
1-hr,n,9,9,9,9
10-hr,total,24.937912470755805,1.9343412148919596,4.883074922990038,4.8300908872532755
10-hr,mean,2.7708791634173116,0.2149268016546622,0.5425638803322265,0.536676765250364
10-hr,sd,0.9255856378465308,0.2702786400206597,0.48492961838851734,0.37587265367405176
10-hr,n,9,9,9,9
100-hr,total,21.054739980726428,1.5614134632867507,2.191175778300517,1.5073215485842897
100-hr,mean,2.3394155534140477,0.17349038480963896,0.2434639753667241,0.16748017206492105
100-hr,sd,1.8063450861260968,0.34499337170885347,0.36520637347611307,0.33254642357804287
100-hr,n,9,9,9,9
1000-hr rotten,total,18.46643004908307,0,0,0
1000-hr rotten,mean,2.0518255610092297,0,0,0
1000-hr rotten,sd,4.203429992398195,0,0,0
1000-hr rotten,n,9,9,9,9
1000-hr sound,total,29.605482921022336,112.74920216915162,89.29560320399683,60.05996544781105
1000-hr sound,mean,3.289498102335815,12.527689129905736,9.921733689332981,6.673329494201227
1000-hr sound,sd,4.594034989932048,17.949086758982595,15.843464128547234,7.706606661903262
1000-hr sound,n,9,9,9,9
